campagne;campagne_(filtres);nom;format;etat;PAD;date_de_debut_prevue;date_de_fin_prevue;annonceur;Responsable commercial;volume_total_prevu;Groupe d'insertions
ACTIVIA - 60698;ACTIVIA - 60698;NSTREAM 20S DAILYMOTION;INSTREAM;Confirmee;Non;29/07/2020;08/08/2020;DISTRIDEX;BOURSIER Estelle;18069;INSTREAM 20S AR/LINFO / TF1/M6/ DAILYMOTION
ACTIVIA - 60698;ACTIVIA - 60698;NSTREAM 20S M6;INSTREAM;Confirmee;Non;29/07/2020;08/08/2020;DISTRIDEX;BOURSIER Estelle;18069;INSTREAM 20S AR/LINFO / TF1/M6/ DAILYMOTION
ACTIVIA - 60698;ACTIVIA - 60698;INSTREAM 20S AR/LINFO;INSTREAM;Confirmee;Non;29/07/2020;08/08/2020;DISTRIDEX;BOURSIER Estelle;62112;INSTREAM 20S AR/LINFO / TF1/M6/ DAILYMOTION
ACTIVIA - 60698;ACTIVIA - 60698;NSTREAM 20S TF1;INSTREAM;Confirmee;Non;29/07/2020;08/08/2020;DISTRIDEX;BOURSIER Estelle;14681;INSTREAM 20S AR/LINFO / TF1/M6/ DAILYMOTION
ADAM'S - 60168;ADAM'S - 60168;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;01/07/2020;31/07/2020;ADAM FRERES ET FILS;NAYAGOM Alexandre;1000;
ADAM'S - 60922;ADAM'S - 60922;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;01/08/2020;31/08/2020;ADAM FRERES ET FILS;NAYAGOM Alexandre;1000;
ADAM'S - 61892;ADAM'S - 61892;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Reservee;Non;05/09/2020;30/09/2020;ADAM FRERES ET FILS;AUFFRET Jerome;0;
ADIR - 59759;ADIR - 59759;dtj - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;03/07/2020;09/07/2020;ADIR;VIRAMOUTOU David;14000;20-RESEAU ASB-GRAND ANGLE RG V1
ADIR - 59759;ADIR - 59759;or - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;03/07/2020;09/07/2020;ADIR;VIRAMOUTOU David;105000;20-RESEAU ASB-GRAND ANGLE RG V1
ADIR - 59759;ADIR - 59759;grand angle sur app linfo/ar;GRAND ANGLE;Confirmee;Non;03/07/2020;09/07/2020;ADIR;VIRAMOUTOU David;56000;20-RESEAU ASB-GRAND ANGLE RG V1
ADIR - 59759;ADIR - 59759;ar - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;03/07/2020;09/07/2020;ADIR;VIRAMOUTOU David;175000;20-RESEAU ASB-GRAND ANGLE RG V1
ADIR - 59759;ADIR - 59759;or - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;25/09/2020;01/10/2020;ADIR;VIRAMOUTOU David;105000;20-RESEAU ASB-GRAND ANGLE RG V2
ADIR - 59759;ADIR - 59759;<grand angle sur app linfo/ar>;GRAND ANGLE;Confirmee;Non;25/09/2020;01/10/2020;ADIR;VIRAMOUTOU David;56000;20-RESEAU ASB-GRAND ANGLE RG V2
ADIR - 59759;ADIR - 59759;ar - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;25/09/2020;01/10/2020;ADIR;VIRAMOUTOU David;175000;20-RESEAU ASB-GRAND ANGLE RG V2
ADIR - 59759;ADIR - 59759;dtj - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;25/09/2020;01/10/2020;ADIR;VIRAMOUTOU David;14000;20-RESEAU ASB-GRAND ANGLE RG V2
ADIR PARR KAZ PEI - 63898;ADIR PARR KAZ PEI - 63898;PORTAIL ART 2014 /Programmes/Series et Fictions/Kaz Pei - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;09/11/2020;31/12/2020;ADIR;VIRAMOUTOU David;200;
ADIR PARR KAZ PEI - 63898;ADIR PARR KAZ PEI - 63898;PORTAIL ART 2014 /Programmes/Series et Fictions/Kaz Pei - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;09/11/2020;31/12/2020;ADIR;VIRAMOUTOU David;61;
ADIR PARR KAZ PEI - 63898;ADIR PARR KAZ PEI - 63898;PORTAIL ART 2014 /Programmes/Series et Fictions/Kaz Pei - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;09/11/2020;31/12/2020;ADIR;VIRAMOUTOU David;103;
ADIR PARR KAZ PEI - 63898;ADIR PARR KAZ PEI - 63898;PORTAIL ART 2014 /Programmes/Series et Fictions/Kaz Pei, /Programmes/Series et Fictions/Kaz Pei - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;09/11/2020;31/12/2020;ADIR;VIRAMOUTOU David;100;
ADIR PARR KLB - 63897;ADIR PARR KLB - 63897;PORTAIL ART 2014 /Programmes/Emissions/KLB - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;09/11/2020;11/12/2020;ADIR;VIRAMOUTOU David;326;
ADIR PARR KLB - 63897;ADIR PARR KLB - 63897;PORTAIL ART 2014 /Programmes/Emissions/KLB, /Programmes/Emissions/KLB, /Programmes/Emissions/KLB - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;09/11/2020;11/12/2020;ADIR;VIRAMOUTOU David;1898;
ADIR PARR KLB - 63897;ADIR PARR KLB - 63897;PORTAIL ART 2014 /Programmes/Emissions/KLB - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;09/11/2020;11/12/2020;ADIR;VIRAMOUTOU David;307;
ADIR PARR KLB - 63897;ADIR PARR KLB - 63897;PORTAIL ART 2014 /Programmes/Emissions/KLB - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;09/11/2020;11/12/2020;ADIR;VIRAMOUTOU David;613;
AHMOD ALI - FDP - 59716;AHMOD ALI - FDP - 59716;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Confirmee;Non;19/06/2020;04/07/2020;AHMOD ALI;AUFFRET Jerome;0;
AHMOD ALI - NOVEMBRE - 63793;AHMOD ALI - NOVEMBRE - 63793;OUVERTURE CATALOGUE RODZAFER;-;Reservee;Non;03/11/2020;21/11/2020;AHMOD ALI;AUFFRET Jerome;866;
AHMOD ALI - RENTREE - 60923;AHMOD ALI - RENTREE - 60923;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;03/08/2020;05/09/2020;AHMOD ALI;NAYAGOM Alexandre;866;
AIR AUSTRAL TOUS EN CUISINE - 63812;AIR AUSTRAL TOUS EN CUISINE - 63812;EPREUVE CONTEXTUALISEE;-;Confirmee;Non;30/10/2020;30/10/2020;AIR AUSTRAL ;VIRAMOUTOU David;0;
AIR FRANCE - 62810;AIR FRANCE - 62810;NATIVE ADS SUR LA HP LINFO.RE;NATIVE ADS;Confirmee;Non;13/11/2020;03/12/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;100000;
AIR FRANCE - 62810;AIR FRANCE - 62810;AR - RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;13/11/2020;03/12/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;384000;HABILLAGE CO-BRANDE s/LINFO/AR/DTJ
AIR FRANCE - 62810;AIR FRANCE - 62810;GRAND ANGLE SUR APP LINFO/AR;GRAND ANGLE;Confirmee;Non;13/11/2020;03/12/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;120000;GRAND ANGLE CO-BRANDE S/LINFO/AR/DTJ
AIR FRANCE - 62810;AIR FRANCE - 62810;AR- RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;13/11/2020;03/12/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;264000;GRAND ANGLE CO-BRANDE S/LINFO/AR/DTJ
AIR FRANCE - 62810;AIR FRANCE - 62810;DTJ- RG RESEAU ARP - HABILLAGE - Habillage - Taille variable selon le site;HABILLAGE;Confirmee;Non;13/11/2020;03/12/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;16000;HABILLAGE CO-BRANDE s/LINFO/AR/DTJ
AIR FRANCE - 62810;AIR FRANCE - 62810;PUBLICATION FACEBOOK;-;Confirmee;Non;13/11/2020;03/12/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;0;
AIR FRANCE - 62810;AIR FRANCE - 62810;DTJ - RG RESEAU ARP - GRAND ANGLE - Grand Angle - 300x600;GRAND ANGLE;Confirmee;Non;13/11/2020;03/12/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;16000;GRAND ANGLE CO-BRANDE S/LINFO/AR/DTJ
AIR FRANCE - 62811;AIR FRANCE - 62811;ARTICLE SPONSO;-;Confirmee;Non;13/11/2020;13/11/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;0;
AIR FRANCE - 62811;AIR FRANCE - 62811;PRODUCTION FORMATS WEB CO-BRANDES;-;Confirmee;Non;13/11/2020;13/11/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;0;
AIR FRANCE - 62811;AIR FRANCE - 62811;BOOST FACEBOOK;-;Confirmee;Non;13/11/2020;13/11/2020;AIR FRANCE (REUNION);VIRAMOUTOU David;0;
ARIBEV - 59868;ARIBEV - 59868;<INSTREAM-VIDEO 30S linfo/ar;INSTREAM;Confirmee;Non;24/06/2020;14/07/2020;ARIBEV;VIRAMOUTOU David;89998;
ARIBEV - 59868;ARIBEV - 59868;INSTREAM-VIDEO 30S DAILYMOTION;INSTREAM;Confirmee;Non;24/06/2020;14/07/2020;ARIBEV;VIRAMOUTOU David;33842;
ARIBEV - 59868;ARIBEV - 59868;INSTREAM-VIDEO 30S TF1;INSTREAM;Confirmee;Non;24/06/2020;14/07/2020;ARIBEV;VIRAMOUTOU David;24265;
ARIBEV - 59868;ARIBEV - 59868;<<INSTREAM-VIDEO 30S M6;INSTREAM;Confirmee;Non;24/06/2020;14/07/2020;ARIBEV;VIRAMOUTOU David;26341;
ARIBEV - 62278;ARIBEV - 62278;INSTREAM 12S AR/LINFO/TF1/M6/DAILYMOTION;INSTREAM;Confirmee;Non;25/11/2020;08/12/2020;ARIBEV;VIRAMOUTOU David;351831;VAGUE 1 - INSTREAM 12S AR/LINFO/TF1/M6/DAILY
ARIBEV - 63733;ARIBEV - 63733;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;GRAND ANGLE;Confirmee;Non;25/11/2020;01/12/2020;ARIBEV;VIRAMOUTOU David;208000;20-RESEAU ASB-GRAND ANGLE RG
ARIBEV - 63733;ARIBEV - 63733;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;GRAND ANGLE;Confirmee;Non;25/11/2020;01/12/2020;ARIBEV;VIRAMOUTOU David;192000;20-RESEAU ASB-GRAND ANGLE RG
ARIBEV - 63733;ARIBEV - 63733;2020 - HABILLAGE APP - 2020 - HABILLAGE APPLI;HABILLAGE;Confirmee;Non;25/11/2020;01/12/2020;ARIBEV;VIRAMOUTOU David;108000;20-RESEAU ASB-HABILLAGE RG
ARIBEV - 63733;ARIBEV - 63733;2020 - RG HABILLAGE - 2020 - HABILLAGE;HABILLAGE;Confirmee;Non;25/11/2020;01/12/2020;ARIBEV;VIRAMOUTOU David;292000;20-RESEAU ASB-HABILLAGE RG
ARIBEV - 63733;ARIBEV - 63733;NATIVE ADS SUR HP LINFO.RE;NATIVE ADS;Confirmee;Non;25/11/2020;01/12/2020;ARIBEV;VIRAMOUTOU David;100000;
ARIBEV - 63733;ARIBEV - 63733;PUBLICATION FACEBOOK;-;Confirmee;Non;25/11/2020;01/12/2020;ARIBEV;VIRAMOUTOU David;0;
ARIBEV - 63734;ARIBEV - 63734;ARTICLE SPONSO;-;Confirmee;Non;25/11/2020;25/11/2020;ARIBEV;VIRAMOUTOU David;0;
ARIBEV - 63734;ARIBEV - 63734;PROD FORMATS CO BRANDES;-;Confirmee;Non;25/11/2020;25/11/2020;ARIBEV;VIRAMOUTOU David;0;
ARIBEV - 63734;ARIBEV - 63734;BOOST FB;-;Confirmee;Non;25/11/2020;25/11/2020;ARIBEV;VIRAMOUTOU David;0;
ARIBEV PARR METEO - 59763;ARIBEV PARR METEO - 59763;PORTAIL ART 2014 /Linfo/Services/Meteo, /Programmes/Info & Mag/Meteo - Habillage - Taille variable selon le site - Exclu;HABILLAGE;Confirmee;Non;01/07/2020;31/07/2020;ARIBEV;VIRAMOUTOU David;1089;extension web : METEO 12H55
ARIBEV PARR METEO - 59763;ARIBEV PARR METEO - 59763;PORTAIL ART 2014 /Linfo/Services/Meteo, /Linfo/Services/Meteo, /Linfo/Services/Meteo, /Linfo/Services/Meteo, /Programmes/Info & Mag/Meteo, /Programmes/Info & Mag/Meteo, /Programmes/Info & Mag/Meteo - Logo - Taille Variable - Exclu;LOGO;Confirmee;Non;01/07/2020;31/07/2020;ARIBEV;VIRAMOUTOU David;27250;extension web : METEO 12H55
ARIBEV PARR METEO - 59763;ARIBEV PARR METEO - 59763;PORTAIL ART 2014 /Linfo/Services/Meteo, /Programmes/Info & Mag/Meteo - Megabannière - 728x90 - Exclu;MASTHEAD;Confirmee;Non;01/07/2020;31/07/2020;ARIBEV;VIRAMOUTOU David;948;extension web : METEO 12H55
ARIBEV PARR METEO - 59763;ARIBEV PARR METEO - 59763;PORTAIL ART 2014 /Linfo/Services/Meteo, /Programmes/Info & Mag/Meteo - Rectangle - 300x250 - Exclu;GRAND ANGLE;Confirmee;Non;01/07/2020;31/07/2020;ARIBEV;VIRAMOUTOU David;2135;extension web : METEO 12H55
ARS CAMPAGNE  GRIPPE - 61726;ARS CAMPAGNE  GRIPPE - 61726;INSTREAM 30S DAILYMOTION;INSTREAM;Confirmee;Non;31/08/2020;06/09/2020;AGENCE REGIONALE DE SANTE OI;LACOUTURE Juliette;15800;INSTREAM 30S AR/LINFO/TF1/M6/DAILYMOTION,
ARS CAMPAGNE  GRIPPE - 61726;ARS CAMPAGNE  GRIPPE - 61726;INSTREAM 30S AR/LINFO;INSTREAM;Confirmee;Non;31/08/2020;06/09/2020;AGENCE REGIONALE DE SANTE OI;LACOUTURE Juliette;22006;INSTREAM 30S AR/LINFO/TF1/M6/DAILYMOTION,
ARS CAMPAGNE  GRIPPE - 61726;ARS CAMPAGNE  GRIPPE - 61726;INSTREAM 30S TF1;INSTREAM;Confirmee;Non;31/08/2020;06/09/2020;AGENCE REGIONALE DE SANTE OI;LACOUTURE Juliette;7900;INSTREAM 30S AR/LINFO/TF1/M6/DAILYMOTION,
ARS CAMPAGNE  GRIPPE - 61726;ARS CAMPAGNE  GRIPPE - 61726;INSTREAM 30S M6;INSTREAM;Confirmee;Non;31/08/2020;06/09/2020;AGENCE REGIONALE DE SANTE OI;LACOUTURE Juliette;10721;INSTREAM 30S AR/LINFO/TF1/M6/DAILYMOTION,
ARS IDENTITO VIGILANCE - 64082;ARS IDENTITO VIGILANCE - 64082;2020 - RG INSTREAM - 2020 - INSTREAM;INSTREAM;Reservee;Non;23/11/2020;02/12/2020;AGENCE REGIONALE DE SANTE OI;LACOUTURE Juliette;105555;
ASS DES COMMERCANTS DU PORT - 60827;ASS DES COMMERCANTS DU PORT - 60827;OR 2020 - RG RESEAU ARP - MASTHEAD - Masthead/Billboard - 970x250;MASTHEAD;Confirmee;Non;01/08/2020;14/08/2020;ASS DES COMMERCANTS DU PORT;BOURSIER Estelle;166667;2020 RESEAU ASB MASTHEAD EN RG
ASS DES COMMERCANTS DU PORT - 60827;ASS DES COMMERCANTS DU PORT - 60827;AR 2020 - RG RESEAU ARP - MASTHEAD - Masthead/Billboard - 970x250;MASTHEAD;Confirmee;Non;01/08/2020;14/08/2020;ASS DES COMMERCANTS DU PORT;BOURSIER Estelle;353333;2020 RESEAU ASB MASTHEAD EN RG
ASS DES COMMERCANTS DU PORT - 60827;ASS DES COMMERCANTS DU PORT - 60827;MASTHEAD SUR APPLI AR/LINFO;MASTHEAD;Confirmee;Non;01/08/2020;14/08/2020;ASS DES COMMERCANTS DU PORT;BOURSIER Estelle;113333;2020 RESEAU ASB MASTHEAD EN RG
ASS DES COMMERCANTS DU PORT - 60827;ASS DES COMMERCANTS DU PORT - 60827;MASTHEAD SUR APPLI ACTU REUNION;MASTHEAD;Confirmee;Non;01/08/2020;14/08/2020;ASS DES COMMERCANTS DU PORT;BOURSIER Estelle;33333;2020 RESEAU ASB MASTHEAD EN RG
ASTER CARD - 59625;ASTER CARD - 59625;RECTANGLE VIDEO SUR APP LINFO/AR;-;Confirmee;Non;19/06/2020;12/07/2020;ANTENNE REUNION TELEVISION;ANTENNE REUNION Télévision;100265;
ASTER CARD - 59625;ASTER CARD - 59625;ART - RG RESEAU ARP - RECTANGLE - Rectangle - 300x250;GRAND ANGLE;Confirmee;Non;19/06/2020;12/07/2020;ANTENNE REUNION TELEVISION;ANTENNE REUNION Télévision;220583;
ASTER CARD - 59625;ASTER CARD - 59625;DTJ - RG RESEAU ARP - RECTANGLE - Rectangle - 300x250;GRAND ANGLE;Confirmee;Non;19/06/2020;12/07/2020;ANTENNE REUNION TELEVISION;ANTENNE REUNION Télévision;13369;
ATLAS - 60139;ATLAS - 60139;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;01/07/2020;31/07/2020;YOUFA;AUFFRET Jerome;3333;
ATLAS - 61951;ATLAS - 61951;INSTREAM VIDEO 15S DAILYMOTION;INSTREAM;Confirmee;Non;04/09/2020;16/09/2020;YOUFA;VIRAMOUTOU David;11498;
ATLAS - 61951;ATLAS - 61951;INSTREAM VIDEO 15S LINFO/AR;INSTREAM;Confirmee;Non;04/09/2020;16/09/2020;YOUFA;VIRAMOUTOU David;39319;
ATLAS - 61951;ATLAS - 61951;INSTREAM VIDEO 15S M6;INSTREAM;Confirmee;Non;04/09/2020;16/09/2020;YOUFA;VIRAMOUTOU David;11721;
ATLAS - 61951;ATLAS - 61951;INSTREAM VIDEO 15S TF1;INSTREAM;Confirmee;Non;04/09/2020;16/09/2020;YOUFA;VIRAMOUTOU David;9232;
ATLAS - 63848;ATLAS - 63848;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;07/11/2020;28/11/2020;YOUFA;AUFFRET Jerome;0;
ATLAS - 63848;ATLAS - 63848;PUSH;-;Confirmee;Non;07/11/2020;07/11/2020;YOUFA;AUFFRET Jerome;0;
ATLAS - RENTREE - 61026;ATLAS - RENTREE - 61026;OUVERTURE CATALOGUE RODZAFER;-;Confirmee;Non;01/08/2020;31/08/2020;YOUFA;AUFFRET Jerome;3333;
ATLAS SOLDES - 61901;ATLAS SOLDES - 61901;OUVERTURES CATALOGUE - OUVERTURE CATALOGUE;-;Confirmee;Non;05/09/2020;02/10/2020;YOUFA;AUFFRET Jerome;0;
BEROCCA ENERGIE - 60680;BEROCCA ENERGIE - 60680;INSTREAM 12S AR/LINFO/TF1/M6/DAILYMOTION;INSTREAM;Confirmee;Non;29/09/2020;29/11/2020;BAYER HEALTH CARE;TF1 TF1;38277;
BEROCCA ENERGIE - 60680;BEROCCA ENERGIE - 60680;INSTREAM 20S AR/LINFO/TF1/M6/DAILYMOTION;INSTREAM;Confirmee;Non;29/09/2020;29/11/2020;BAYER HEALTH CARE;TF1 TF1;49927;
BERROCA BOOST - 56949;BERROCA BOOST - 56949;INSTREAM VIDEO  13S TF1;INSTREAM;Confirmee;Non;18/05/2020;05/07/2020;BAYER HEALTH CARE;TF1 TF1;18216;INSTREAM VIDEO 13S LINFO/AR/TF1/M6/DAILYMOTION
BERROCA BOOST - 56949;BERROCA BOOST - 56949;INSTREAM VIDEO 13S M6;INSTREAM;Confirmee;Non;18/05/2020;05/07/2020;BAYER HEALTH CARE;TF1 TF1;32749;INSTREAM VIDEO 13S LINFO/AR/TF1/M6/DAILYMOTION
