Campagne;Nom;Formats;Etat;PAD;Date_de_debut_prevue;Date_de_fin_prevue;Annonceur;Responsable_commercial;Volume_total_prevu;Volume_payant_prevu;Brut_prevu;Net_prevu;CPM_Net_payant_prevu;CMP_Net_total_prevu;Volume_clic_prevu;Taux_clic_prevu;Volume_total_diffuse;Volume_payant_diffuse;Brut_diffuse;Net_diffuse;CPM_Net_payant_diffuse;CMP_Net_total_diffuse;Volume_clic_diffuse;Taux_clic_diffuse;Taux_d'avancement;Taux_d'avancement_date;Groupe_d'insertions
ADAM'S - 65376;DIFFUSION CATALOGUE RODZAFER;Hors-format;Reservee;Non;01/01/2021;31/12/2021;ADAM FRERES ET FILS;NAYAGOM Alexandre;0;0;1000;1000;0;0;0;0,00%;0;0;1000;1000;0;0;0;0,00%;0,00%;0,00%;
AUTOMOBILE REUNION - 64893;MARS DIFFUSION CATALOGUE RODZAFER;WEB_MPAVE_ATF0;Confirmee;Non;01/03/2021;31/03/2021;AUTOMOBILES REUNION;AUFFRET Jerome;0;0;83,33;83,33;0;0;0;0,00%;0;0;83,33;83,33;0;0;0;0,00%;0,00%;0,00%;
BNP PARIBAS - 65559;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Linear;Reservee;Non;25/01/2021;31/01/2021;BNP PARIBAS REUNION;LACOUTURE Juliette;101052;101052;505,26;480;4,75;4,75;0;0,00%;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;2021 - RESEAU ASB GRAND ANGLE RG HORS OR
BUT - 64863;JANVIER DIFFUSION CATALOGUE RODZAFER;WEB_MBAN_ATF0;Confirmee;Non;01/01/2021;31/01/2021;L.B.D BUT SAVANNA SAS;AUFFRET Jerome;0;0;83,33;83,33;0;0;0;0,00%;0;0;83,33;83,33;0;0;0;0,00%;0,00%;0,00%;
CAF FONNKER MARMAYE - 65225;SM_ANTENNEREUNION emissions/emissions/caf_fonnker_marmay - 2020 - LOGO - Exclu;Hors-format;Confirmee;Non;23/12/2020;21/01/2021;CAISSE ALLOCATIONS FAMILIALES;LACOUTURE Juliette;0;0;81,66;81,66;0;0;0;0,00%;0;0;81,66;81,66;0;0;0;0,00%;0,00%;0,00%;extension web : CAF FONKER MARMAY
CARREFOUR - MIX IMAGE JANVIER - 65675;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;WEB_MPAVE_ATF0;Reservee;Non;25/01/2021;07/02/2021;VINDEMIA DISTRIBUTION;LACOUTURE Juliette;416000;416000;2080;1244,88;2,99;2,99;0;0,00%;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;2021 - RESEAU ASB GRAND ANGLE RG
CASH PISCINE - 65732;DIFFUSION CATALOGUE RODZAFER;WEB_MPAVE_ATF0;Confirmee;Non;19/01/2021;08/02/2021;CPBA EURL;AUFFRET Jerome;0;0;300;0;0;0;0;0,00%;0;0;300;0;0;0;0;0,00%;0,00%;0,00%;
CAT OI - 65374;DIFFUSION CATALOGUE RODZAFER;WEB_MPAVE_ATF0;Reservee;Non;01/01/2021;31/12/2021;CAT-OI;NAYAGOM Alexandre;0;0;1000;1000;0;0;0;0,00%;0;0;1000;1000;0;0;0;0,00%;0,00%;0,00%;
CHATEAU D'AX - 65703;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;Linear;Reservee;Non;05/02/2021;14/02/2021;MOBILIO SARL;BONJOUR Cyrille;85000;85000;1275;892,5;10,5;10,5;0;0,00%;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;2021 - RESEAU ASB INTERSTITIEL RG
CIRRUS AUTORELAIS - 63142;2020 - RG INTERSTITIEL - 2020 - INTERSTITIEL;WEB_INTERSTITIEL;Confirmee;Non;01/01/2021;05/01/2021;CIRRUS ;BOURSIER Estelle;86349;86349;1295,24;816;9,45;9,45;0;0,00%;0;0;0;0;0;0;0;0,00%;0,00%;0,00%;21-RESEAU ASB-INTERSTITIEL RG VAGUE 1
COMPTOIR DU SURGELE - 64935;JANVIER OUVERTURE CATALOGUE RODZAFER;Linear;Confirmee;Non;01/01/2021;31/01/2021;ARMEMENT DES MASCAREIGNES ;AUFFRET Jerome;0;0;83,33;83,33;0;0;0;0,00%;0;0;83,33;83,33;0;0;0;0,00%;0,00%;0,00%;
