Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;Début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de réservation
LA SALLE SAINT CHARLES PROD - 68606;A.G.C.L.C.P LA SALLE ST CHARLES;BE;PROD;Confirmée;Non;Non;Non;Non;06/05/2021;06/05/2021;0;0;1800,00;1800,00;0,00;0,00;0,00;0;0;1800,00;A.G.C.L.C.P LA SALLE ST CHARLES
ABI FENGSHUI PARR SIDDHI VINAYAK - 66781;ABI FENG SHUI;JL;EXTWB;Confirmée;Non;Non;Non;Oui;02/03/2021;31/03/2021;34799884;0;500,00;500,00;0,00;0,00;0,01;34799884;0;500,00;ABI FENG SHUI
ACISL - 67626;ACISL;AN;CL;Demande;Non;Non;Non;Non;01/04/2021;30/04/2021;0;0;350,00;0,00;100,00;0,00;0,00;0;0;0,00;ACISL
ADAM'S - 65376;ADAM FRERES ET FILS;AN;CL;Demande;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000,00;1000,00;0,00;0,00;0,00;0;0;1000,00;ADAM FRERES ET FILS
ADAM'S - 67014;ADAM FRERES ET FILS;AN;CL;Confirmée;Non;Non;Non;Non;08/03/2021;31/03/2021;0;0;350,00;0,00;100,00;0,00;0,00;0;0;0,00;ADAM FRERES ET FILS
ADAM'S - 67795;ADAM FRERES ET FILS;AN;CL;Demande;Non;Non;Non;Non;06/04/2021;01/05/2021;0;0;350,00;0,00;100,00;0,00;0,00;0;0;0,00;ADAM FRERES ET FILS
ADELGO - 69226;ADELGO;BE;PROD;Confirmée;Non;Non;Non;Non;03/06/2021;03/06/2021;0;0;990,00;990,00;0,00;0,00;0,00;0;0;990,00;ADELGO
ADIE MICROCREDIT - 65749;ADIE - DIRECTION REGIONALE REUNI;JL;PROD;Confirmée;Non;Non;Non;Non;28/01/2021;02/02/2021;0;0;300,00;300,00;0,00;0,00;0,00;0;0;300,00;ADIE - DIRECTION REGIONALE REUNI
ADIE MICROCREDIT - 65750;ADIE - DIRECTION REGIONALE REUNI;JL;CL;Confirmée;Non;Non;Non;Non;28/01/2021;02/02/2021;0;0;1000,00;1000,00;0,00;0,00;0,00;0;0;1000,00;ADIE - DIRECTION REGIONALE REUNI
ADIR NOU LA FÉ - 66159;ADIR;FB;CL;Confirmée;Non;Non;Non;Non;08/03/2021;14/03/2021;368421;0;1842,11;1417,50;23,00;0,00;3,85;368421;0;1417,50;UNIT MEDIA
AEROPORT ROLAND GARROS - 70120;AEROPORT REUNION R.GARROS SA;BE;CL;Confirmée;Oui;Non;Non;Non;13/07/2021;19/07/2021;500000;0;2400,00;1600,00;33,00;0,00;3,20;500000;0;1600,00;VITAMEDIA (Agence HTC)
