Campagne;Nom;Etat;PAD;Date de début prévue;Date de fin prévue;Date de début diffusée;Date de fin diffusée;Annonceur;Responsable commercial;Volume total prévu;Volume payant prévu;Brut prévu;Net prévu;CPM Net payant prévu;CMP Net total prévu;Volume clic prévu;Taux clic prévu;Volume total diffusé;Volume payant diffusé;Brut diffusé;Net diffusé;CPM Net payant diffusé;CMP Net total diffusé;Volume clic diffusé;Taux clic diffusé;Taux d'avancement;Taux d'avancement date;Groupe d'insertions
ABI FENGSHUI PARR SIDDHI VINAYAK - 66781;SM_ANTENNEREUNION - 2020 - HABILLAGE - Exclu;Confirmée;Non;02/03/2021;31/03/2021;02/03/2021;31/03/2021;ABI FENG SHUI;LACOUTURE Juliette;8699971;8699971;300.00;300.00;0.03;0.03;0;0.00%;8699971;8699971;300.00;300.00;0.03;0.03;0;0.00%;100.00%;0.00%;
ABI FENGSHUI PARR SIDDHI VINAYAK - 66781;SM_ANTENNEREUNION - 2020 - MASTHEAD - Exclu;Confirmée;Non;02/03/2021;31/03/2021;02/03/2021;31/03/2021;ABI FENG SHUI;LACOUTURE Juliette;8699971;8699971;66.67;66.67;0.01;0.01;0;0.00%;8699971;8699971;66.67;66.67;0.01;0.01;0;0.00%;100.00%;0.00%;
ABI FENGSHUI PARR SIDDHI VINAYAK - 66781;SM_ANTENNEREUNION - 2020 - RECTANGLE - Exclu;Confirmée;Non;02/03/2021;31/03/2021;02/03/2021;31/03/2021;ABI FENG SHUI;LACOUTURE Juliette;8699971;8699971;66.67;66.67;0.01;0.01;0;0.00%;8699971;8699971;66.67;66.67;0.01;0.01;0;0.00%;100.00%;0.00%;
ABI FENGSHUI PARR SIDDHI VINAYAK - 66781;SM_ANTENNEREUNION - 2020 - LOGO - Exclu;Confirmée;Non;02/03/2021;31/03/2021;02/03/2021;31/03/2021;ABI FENG SHUI;LACOUTURE Juliette;8699971;8699971;66.66;66.66;0.01;0.01;0;0.00%;8699971;8699971;66.66;66.66;0.01;0.01;0;0.00%;100.00%;0.00%;
ADAM'S - 67014;DIFFUSION CATALOGUE;Confirmée;Non;08/03/2021;31/03/2021;08/03/2021;31/03/2021;ADAM FRERES ET FILS;NAYAGOM Alexandre;0;0;350.00;0.00;0.00;0.00;0;0.00%;0;0;350.00;0.00;0.00;0.00;0;0.00%;0.00%;0.00%;
ADELGO - 69226;PRODUCTION D'UN SPOT DE 20S;Confirmée;Non;03/06/2021;03/06/2021;03/06/2021;03/06/2021;ADELGO;BOURSIER Estelle;0;0;990.00;990.00;0.00;0.00;0;0.00%;0;0;990.00;990.00;0.00;0.00;0;0.00%;0.00%;0.00%;
ADIE MICROCREDIT - 65749;FORFAIT MODERATION;Confirmée;Non;28/01/2021;02/02/2021;28/01/2021;02/02/2021;ADIE - DIRECTION REGIONALE REUNI;LACOUTURE Juliette;0;0;100.00;100.00;0.00;0.00;0;0.00%;0;0;100.00;100.00;0.00;0.00;0;0.00%;0.00%;0.00%;
ADIE MICROCREDIT - 65749;BOOST FACEBOOK;Confirmée;Non;28/01/2021;02/02/2021;28/01/2021;02/02/2021;ADIE - DIRECTION REGIONALE REUNI;LACOUTURE Juliette;0;0;200.00;200.00;0.00;0.00;0;0.00%;0;0;200.00;200.00;0.00;0.00;0;0.00%;0.00%;0.00%;
ADIE MICROCREDIT - 65750;2 POSTS FACEBOOK;Confirmée;Non;28/01/2021;02/02/2021;28/01/2021;02/02/2021;ADIE - DIRECTION REGIONALE REUNI;LACOUTURE Juliette;0;0;1000.00;1000.00;0.00;0.00;0;0.00%;0;0;1000.00;1000.00;0.00;0.00;0;0.00%;0.00%;0.00%;
ADIR NOU LA Fé - 66159;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;Confirmée;Non;08/03/2021;14/03/2021;08/03/2021;14/03/2021;ADIR;BOSC Florent;191579;191579;957.90;737.10;3.85;3.85;0;0.00%;191579;191579;957.90;737.10;3.85;3.85;0;0.00%;100.00%;0.00%;2021 - RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
ADIR NOU LA Fé - 66159;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Confirmée;Non;08/03/2021;14/03/2021;08/03/2021;14/03/2021;ADIR;BOSC Florent;176842;176842;884.21;680.40;3.85;3.85;0;0.00%;176842;176842;884.21;680.40;3.85;3.85;0;0.00%;100.00%;0.00%;2021 - RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
AEROPORT ROLAND GARROS - 70120;2020 - RG RECTANGLE APPLI - 2020 - RECTANGLE APPLI;Confirmée;Oui;13/07/2021;19/07/2021;13/07/2021;19/07/2021;AEROPORT REUNION R.GARROS SA;BOURSIER Estelle;260000;260000;1248.00;832.00;3.20;3.20;0;0.00%;260000;260000;1248.00;832.00;3.20;3.20;0;0.00%;100.00%;0.00%;2021 RESEAU ASB RECTANGLE VIDEO RG AR/LINFO/DTJ/OR
AEROPORT ROLAND GARROS - 70120;2020 - RG RECTANGLE - 2020 - RECTANGLE;Confirmée;Oui;13/07/2021;19/07/2021;13/07/2021;19/07/2021;AEROPORT REUNION R.GARROS SA;BOURSIER Estelle;240000;240000;1152.00;768.00;3.20;3.20;0;0.00%;240000;240000;1152.00;768.00;3.20;3.20;0;0.00%;100.00%;0.00%;2021 RESEAU ASB RECTANGLE VIDEO RG AR/LINFO/DTJ/OR
AGCV SAINT JO - 68754;DIFFUSION CATALOGUE RODZAFER;Réservée;Non;18/05/2021;30/05/2021;18/05/2021;30/05/2021;AGCV SAINT JOSEPH;NAYAGOM Alexandre;2000;2000;300.00;300.00;150.00;150.00;0;0.00%;2000;2000;300.00;300.00;150.00;150.00;0;0.00%;100.00%;0.00%;
AGCV SAINT JO - 69520;DIFFUSION CATALOGUE RODZAFER OFFERTE;Confirmée;Non;14/06/2021;27/06/2021;14/06/2021;27/06/2021;AGCV SAINT JOSEPH;NAYAGOM Alexandre;0;0;350.00;0.00;0.00;0.00;0;0.00%;0;0;350.00;0.00;0.00;0.00;0;0.00%;0.00%;0.00%;
AGCV SAINT JO - 69520;REMONTEE CATALOGUE RODZAFER;Confirmée;Non;14/06/2021;27/06/2021;14/06/2021;27/06/2021;AGCV SAINT JOSEPH;NAYAGOM Alexandre;0;0;150.00;150.00;0.00;0.00;0;0.00%;0;0;150.00;150.00;0.00;0.00;0;0.00%;0.00%;0.00%;
AGEFICE - 65637;2021 - RG INSTREAM ;Confirmée;Non;18/01/2021;31/01/2021;18/01/2021;31/01/2021;AGEFICE;TF1 TF1;162657;162657;4115.22;3000.00;18.44;18.44;0;0.00%;162657;162657;4115.22;3000.00;18.44;18.44;0;0.00%;100.00%;0.00%;
AHMOD ALI - 67714;AVRIL DIFFUSION CATALOGUE ANNUEL RODZAFER;Confirmée;Non;01/04/2021;30/04/2021;01/04/2021;30/04/2021;AHMOD ALI;AUFFRET Jerome;0;0;83.34;83.34;0.00;0.00;0;0.00%;0;0;83.34;83.34;0.00;0.00;0;0.00%;0.00%;0.00%;
AHMOD ALI - 67714;MAI DIFFUSION CATALOGUE ANNUEL RODZAFER;Confirmée;Non;01/05/2021;31/05/2021;01/05/2021;31/05/2021;AHMOD ALI;AUFFRET Jerome;0;0;83.34;83.34;0.00;0.00;0;0.00%;0;0;83.34;83.34;0.00;0.00;0;0.00%;0.00%;0.00%;
AHMOD ALI - 67714;JUIN DIFFUSION CATALOGUE ANNUEL RODZAFER;Confirmée;Non;01/06/2021;30/06/2021;01/06/2021;30/06/2021;AHMOD ALI;AUFFRET Jerome;0;0;83.34;83.34;0.00;0.00;0;0.00%;0;0;83.34;83.34;0.00;0.00;0;0.00%;0.00%;0.00%;
AHMOD ALI - 67714;JUILLET DIFFUSION CATALOGUE ANNUEL RODZAFER;Confirmée;Non;01/07/2021;31/07/2021;01/07/2021;31/07/2021;AHMOD ALI;AUFFRET Jerome;0;0;83.34;83.34;0.00;0.00;0;0.00%;0;0;83.34;83.34;0.00;0.00;0;0.00%;0.00%;0.00%;
