Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de Réservation
ABI FENG SHUI - 70726;ABI FENG SHUI;KC;PROD;Option;Non;Non;Non;Non;06/08/2021;06/08/2021;0;0;890.00;890.00;0.00;0.00;0.00;0;0;890.00;ABI FENG SHUI
ADAM'S - 65376;ADAM FRERES ET FILS;AN;CL;Demande;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;ADAM FRERES ET FILS
GAMM VERT  - 68734;AGRI DEV;BE;CL;Demande;Non;Non;Non;Non;03/07/2021;26/12/2021;964284;0;5785.74;4050.00;30.00;0.00;4.20;964284;0;4050.00;AGRI DEV
GAMM VERT  - 68735;AGRI DEV;JA;CL;Confirmée;Non;Non;Non;Non;05/07/2021;26/12/2021;964284;0;5785.74;4050.00;30.00;0.00;4.20;964284;0;4050.00;AGRI DEV
GAMM VERT  - 68873;AGRI DEV;JA;CL;Confirmée;Non;Non;Non;Non;05/07/2021;26/12/2021;0;0;4000.00;4000.00;0.00;0.00;0.00;0;0;4000.00;AGRI DEV
AHMOD ALI - 67714;AHMOD ALI;JA;CL;Confirmée;Non;Non;Non;Non;01/04/2021;31/03/2022;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;AHMOD ALI
COMPTOIR DU SURGELE - 64935;ARMEMENT DES MASCAREIGNES ;BC;CL;Confirmée;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;ARMEMENT DES MASCAREIGNES 
ATELIER DU MENUISIER - 69196;ATELIER DU MENUISIER;BC;CL;Option;Non;Non;Non;Non;27/08/2021;05/09/2021;550000;0;2150.00;1505.00;30.00;0.00;2.74;550000;0;1505.00;ATELIER DU MENUISIER
AUTOMOBILE REUNION - 64893;AUTOMOBILES REUNION;BE;CL;Confirmée;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;AUTOMOBILES REUNION
BAYER HYDRALIN - 68944;BAYER HEALTH CARE;TF1;IN;Confirmée;Non;Non;Non;Non;21/06/2021;15/08/2021;70172;0;1606.65;1450.00;10.00;0.00;20.66;70172;0;1450.00;BAYER HEALTH CARE
BEROCCA ENERGIE - 70115;BAYER HEALTH CARE;TF1;IN;Confirmée;Non;Non;Non;Non;23/08/2021;07/11/2021;105767;0;2326.87;2100.00;10.00;0.00;19.85;105767;0;2100.00;BAYER HEALTH CARE
BAZARDIER - 69060;BAZARDIER;BC;IN;Confirmée;Oui;Non;Non;Non;23/07/2021;01/08/2021;31070;0;842.10;800.00;5.00;0.00;25.75;31070;0;800.00;SMART SHOPPER
MOBITEC CATALOGUE ANNUEL - 65794;BUTOR MEUBLES;JA;CL;Confirmée;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;829.49;829.49;0.00;0.00;0.00;0;0;829.49;BUTOR MEUBLES
LEADER PRICE OP 17 - 70663;CAILLE GRANDE DISTRIBUTION;BE;CL;Demande;Non;Non;Non;Non;10/08/2021;22/08/2021;220726;0;3703.71;3000.00;19.00;0.00;13.59;220726;0;3000.00;CRAP
LEADER PRICE OP 17 - 70664;CAILLE GRANDE DISTRIBUTION;BE;CL;Demande;Non;Non;Non;Non;10/08/2021;22/08/2021;0;0;2500.00;2500.00;0.00;0.00;0.00;0;0;2500.00;CRAP
CANAL + RUN BTS - 69919;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;02/08/2021;15/08/2021;199362;0;4385.96;3000.00;32.00;0.00;15.05;199362;0;3000.00;LUVI MEDIA (HAVAS REUNION)
CANAL CBOX - 70063;CANAL+ REUNION;FB;CL;Confirmée;Oui;Non;Non;Non;02/07/2021;30/09/2021;178124;0;2671.87;1827.56;32.00;0.00;10.26;178124;0;1827.56;LUVI MEDIA (HAVAS REUNION)
CANAL CBOX BTS JUILLET/AOUT - 69776;CANAL+ REUNION;FB;IN;Confirmée;Oui;Non;Non;Non;15/07/2021;08/08/2021;199362;0;4385.96;3000.00;32.00;0.00;15.05;199362;0;3000.00;LUVI MEDIA (HAVAS REUNION)
CARREFOUR PARR METEO - 70439;CARREFOUR (Sainte Suzanne);JA;EXTWB;Demande;Non;Non;Non;Non;01/08/2021;31/08/2021;0;0;500.00;500.00;0.00;0.00;0.00;0;0;500.00;CARREFOUR (Sainte Suzanne)
CAT OI - 65374;CAT-OI;AN;CL;Demande;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;CAT-OI
CAT OI - 68119;CAT-OI;AN;CL;Demande;Non;Non;Non;Non;15/04/2021;31/12/2021;0;0;1000.00;0.00;100.00;0.00;0.00;0;0;0.00;CAT-OI
CIRRUS AUTORELAIS - 66788;CIRRUS ;BE;CL;Confirmée;Non;Non;Non;Non;02/07/2021;14/12/2021;1523808;0;22857.24;14400.00;37.00;0.00;9.45;1523808;0;14400.00;CIRRUS 
CIVIS - 70628;CIVIS;BE;CL;Confirmée;Non;Non;Non;Non;09/08/2021;11/08/2021;80000;0;1200.00;912.00;24.00;0.00;11.40;80000;0;912.00;LUVI MEDIA (HAVAS REUNION)
CNARM - 70227;CNARM  MOBILITE (LA REUNION);KC;IN;Confirmée;Oui;Non;Non;Non;21/07/2021;01/08/2021;130000;0;3289.00;2000.00;39.00;0.00;15.38;130000;0;2000.00;CNARM  MOBILITE (LA REUNION)
FOIR'FOUILLE - 64934;CODISNA SAS;BE;CL;Confirmée;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;CODISNA SAS
CONERSOL PARR SOIREE - 70449;CONERSOL;BE;EXTWB;Confirmée;Non;Non;Non;Non;01/08/2021;31/08/2021;0;0;500.00;500.00;0.00;0.00;0.00;0;0;500.00;CONERSOL
COTRANS VOLKSWAGEN - 68787;COTRANS AUTOMOBILES;JA;CL;Demande;Non;Non;Non;Non;01/06/2021;31/05/2022;0;0;1000.00;1000.00;0.00;0.00;0.00;0;0;1000.00;COTRANS AUTOMOBILES
DEAL - 67572;DEAL REUNION;FB;CL;Confirmée;Non;Non;Non;Non;02/04/2021;01/08/2021;600000;0;3000.00;2000.01;33.00;0.00;3.33;600000;0;2000.01;DESIGN SYSTEM
DECATHLON - 70300;DECATHLON MAREBAM;JA;IN;Confirmée;Non;Non;Non;Non;02/08/2021;15/08/2021;102000;0;2692.85;1885.00;30.00;0.00;18.48;102000;0;1885.00;LUVI MEDIA (HAVAS REUNION)
DECATHLON - 70627;DECATHLON MAREBAM;JA;CL;Confirmée;Oui;Non;Non;Non;03/08/2021;12/08/2021;400000;0;3000.00;1995.00;34.00;0.00;4.99;400000;0;1995.00;LUVI MEDIA (HAVAS REUNION)
NESPRESSO BTS 2021 - 70375;DIMOMIX ;BC;CL;Confirmée;Non;Non;Non;Non;23/08/2021;29/08/2021;406277;0;2770.07;2500.00;10.00;0.00;6.15;406277;0;2500.00;LUVI MEDIA (HAVAS REUNION)
