Campagne;Nom;Etat;PAD;Date de début prévue;Date de fin prévue;Date de début diffusée;Date de fin diffusée;Annonceur;Responsable commercial;Volume total prévu;Volume payant prévu;Brut prévu;Net prévu;CPM Net payant prévu;CMP Net total prévu;Volume clic prévu;Taux clic prévu;Volume total diffusé;Volume payant diffusé;Brut diffusé;Net diffusé;CPM Net payant diffusé;CMP Net total diffusé;Volume clic diffusé;Taux clic diffusé;Taux d'avancement;Taux d'avancement date;Groupe d'insertions
ABI FENG SHUI - 70726;modif spot 20s + rajout voix off féminine;Réservée;Non;06/08/2021;06/08/2021;06/08/2021;06/08/2021;ABI FENG SHUI;CATHERINE Kevin;0;0;890.00;890.00;0.00;0.00;0;0.00%;0;0;890.00;890.00;0.00;0.00;0;0.00%;0.00%;0.00%;
AHMOD ALI - 67714;AOUT DIFFUSION CATALOGUE ANNUEL RODZAFER;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;AHMOD ALI;AUFFRET Jerome;0;0;83.33;83.33;0.00;0.00;0;0.00%;0;0;83.33;83.33;0.00;0.00;0;0.00%;0.00%;0.00%;
ATELIER DU MENUISIER - 69196;2020 - RG MASTHEAD APPLI - 2020 - MASTHEAD APP;Réservée;Non;27/08/2021;05/09/2021;27/08/2021;05/09/2021;ATELIER DU MENUISIER;BONJOUR Cyrille;201000;201000;603.00;422.10;2.10;2.10;0;0.00%;201000;201000;603.00;422.10;2.10;2.10;0;0.00%;100.00%;0.00%;2021 RESEAU ASB MASTHEAD AR/LINFO/OR
ATELIER DU MENUISIER - 69196;2020 - RG MASTHEAD - 2020 - MASTHEAD;Réservée;Non;27/08/2021;05/09/2021;27/08/2021;05/09/2021;ATELIER DU MENUISIER;BONJOUR Cyrille;99000;99000;297.00;207.90;2.10;2.10;0;0.00%;99000;99000;297.00;207.90;2.10;2.10;0;0.00%;100.00%;0.00%;2021 RESEAU ASB MASTHEAD AR/LINFO/OR
ATELIER DU MENUISIER - 69196;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;Réservée;Non;27/08/2021;05/09/2021;27/08/2021;05/09/2021;ATELIER DU MENUISIER;BONJOUR Cyrille;130000;130000;650.00;455.00;3.50;3.50;0;0.00%;130000;130000;650.00;455.00;3.50;3.50;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
ATELIER DU MENUISIER - 69196;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Réservée;Non;27/08/2021;05/09/2021;27/08/2021;05/09/2021;ATELIER DU MENUISIER;BONJOUR Cyrille;120000;120000;600.00;420.00;3.50;3.50;0;0.00%;120000;120000;600.00;420.00;3.50;3.50;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
AUTOMOBILE REUNION - 64893;AOUT DIFFUSION CATALOGUE RODZAFER;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;AUTOMOBILES REUNION;BOURSIER Estelle;0;0;83.33;83.33;0.00;0.00;0;0.00%;0;0;83.33;83.33;0.00;0.00;0;0.00%;0.00%;0.00%;
BABYRUN PARR METEO - 70433;SM_ANTENNEREUNION info_et_magazines//meteo - 2020 - HABILLAGE - Exclu;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;JFC IMPORT;BOSC Florent;0;0;300.00;300.00;0.00;0.00;0;0.00%;0;0;300.00;300.00;0.00;0.00;0;0.00%;0.00%;0.00%;
BABYRUN PARR METEO - 70433;SM_ANTENNEREUNION info_et_magazines//meteo - 2020 - LOGO - Exclu;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;JFC IMPORT;BOSC Florent;0;0;66.66;66.66;0.00;0.00;0;0.00%;0;0;66.66;66.66;0.00;0.00;0;0.00%;0.00%;0.00%;
BABYRUN PARR METEO - 70433;SM_ANTENNEREUNION info_et_magazines//meteo - 2020 - MASTHEAD - Exclu;Confirmée;Non;01/08/2021;31/08/2021;01/08/2021;31/08/2021;JFC IMPORT;BOSC Florent;0;0;66.67;66.67;0.00;0.00;0;0.00%;0;0;66.67;66.67;0.00;0.00;0;0.00%;0.00%;0.00%;
