Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;Début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de réservation
A LA VILLE DE PARIS - 70865;A LA VILLE DE PARIS;KC;PROD;Confirmée;Oui;Non;Non;Non;16/08/2021;16/08/2021;0;0;1780,00;1780,00;0,00;0,00;0,00;0;0;1780,00;A LA VILLE DE PARIS
A LA VILLE DE PARIS - 73183;A LA VILLE DE PARIS;KC;PROD;Confirmée;Non;Non;Non;Non;27/10/2021;27/10/2021;0;0;50,00;50,00;0,00;0,00;0,00;0;0;50,00;A LA VILLE DE PARIS
A LA VILLE DE PARIS - 73229;A LA VILLE DE PARIS;KC;PROD;Confirmée;Non;Non;Non;Non;31/12/2021;31/12/2021;0;0;1450,00;1450,00;0,00;0,00;0,00;0;0;1450,00;A LA VILLE DE PARIS
VILLE DE PARIS PARR KOH LANTA - 71007;A LA VILLE DE PARIS;KC;EXTWB;Confirmée;Non;Non;Non;Non;25/08/2021;08/12/2021;49524;0;1500,00;1500,00;0,00;0,00;30,29;0;0;1500,00;A LA VILLE DE PARIS
VILLE DE PARIS PARR MMA - 73209;A LA VILLE DE PARIS;KC;EXTWB;Confirmée;Non;Non;Non;Non;30/10/2021;30/10/2021;0;0;125,00;0,00;100,00;0,00;0,00;0;0;0,00;A LA VILLE DE PARIS
JARDIN GOURMAND PRES DE CHEZ VOU - 73126;A&F FOOD SERVICE;AG;PRODOP;Confirmée;Non;Non;Non;Non;31/10/2021;31/10/2021;0;0;210,00;210,00;0,00;0,00;0,00;0;0;210,00;A&F FOOD SERVICE
ABI FENG SHUI - 70726;ABI FENG SHUI;KC;PROD;Option;Non;Non;Non;Non;06/08/2021;06/08/2021;0;0;890,00;890,00;0,00;0,00;0,00;0;0;890,00;ABI FENG SHUI
ADAM'S - 65376;ADAM FRERES ET FILS;AN;CL;Demande;Non;Non;Non;Non;01/01/2021;31/12/2021;0;0;1000,00;1000,00;0,00;0,00;0,00;0;0;1000,00;ADAM FRERES ET FILS
ADAM'S - 71691;ADAM FRERES ET FILS;KC;CL;Option;Non;Non;Non;Non;13/10/2021;31/12/2021;0;0;200,00;200,00;0,00;0,00;0,00;0;0;200,00;ADAM FRERES ET FILS
ADIE - 72135;ADIE - DIRECTION REGIONALE REUNI;KC;CL;Demande;Non;Non;Non;Non;27/09/2021;07/10/2021;328947;0;1578,94;1500,00;5,00;0,00;4,56;328947;0;1500,00;ADIE - DIRECTION REGIONALE REUNI
ADIE MICROCREDIT - 70756;ADIE - DIRECTION REGIONALE REUNI;KC;PROD;Confirmée;Non;Non;Non;Non;04/10/2021;08/10/2021;0;0;300,00;300,00;0,00;0,00;0,00;0;0;300,00;ADIE - DIRECTION REGIONALE REUNI
ADIE MICROCREDIT - 70757;ADIE - DIRECTION REGIONALE REUNI;KC;CL;Confirmée;Non;Non;Non;Non;04/10/2021;08/10/2021;0;0;1000,00;1000,00;0,00;0,00;0,00;0;0;1000,00;ADIE - DIRECTION REGIONALE REUNI
ADIE MICROCREDIT - 70802;ADIE - DIRECTION REGIONALE REUNI;KC;CL;Demande;Non;Non;Non;Non;24/09/2021;01/10/2021;350877;0;2105,26;2000,00;5,00;0,00;5,70;350877;0;2000,00;ADIE - DIRECTION REGIONALE REUNI
ADIR PARR KLB - 71980;ADIR;FB;EXTWB;Confirmée;Non;Non;Non;Non;01/10/2021;12/12/2021;168616;0;1250,00;1250,00;0,00;0,00;7,41;143200;0;1250,00;UNIT MEDIA
AEROPORT ROLAND GARROS - 70120;AEROPORT REUNION R.GARROS SA;BE;CL;Confirmée;Oui;Non;Non;Non;13/07/2021;19/07/2021;500000;0;2400,00;1600,00;33,00;0,00;3,20;500000;0;1600,00;VITAMEDIA (Agence HTC)
AGCV SAINT JO - 71781;AGCV SAINT JOSEPH;BE;CL;Option;Non;Non;Non;Non;13/09/2021;19/09/2021;0;0;350,00;350,00;0,00;0,00;0,00;0;0;350,00;AGCV SAINT JOSEPH
AGCV SAINT JO - 71782;AGCV SAINT JOSEPH;BE;CL;Demande;Non;Non;Non;Non;06/12/2021;26/12/2021;0;0;1500,00;1500,00;0,00;0,00;0,00;0;0;1500,00;AGCV SAINT JOSEPH
AGCV SAINT JO - 71785;AGCV SAINT JOSEPH;BE;CL;Option;Non;Non;Non;Non;05/02/2022;18/02/2022;0;0;1500,00;1500,00;0,00;0,00;0,00;0;0;1500,00;AGCV SAINT JOSEPH
AGCV SAINT JO - 71786;AGCV SAINT JOSEPH;BE;CL;Option;Non;Non;Non;Non;06/12/2021;26/12/2021;350876;0;1754,38;1500,00;14,00;0,00;4,28;350876;0;1500,00;AGCV SAINT JOSEPH
AGCV SAINT JO - 71787;AGCV SAINT JOSEPH;BE;CL;Option;Non;Non;Non;Non;05/02/2022;18/02/2022;365497;0;1754,39;1500,00;15,00;0,00;4,10;365497;0;1500,00;AGCV SAINT JOSEPH
AGCV SAINT JO - 72743;AGCV SAINT JOSEPH;BE;CL;Option;Non;Non;Non;Non;07/02/2022;24/12/2022;1904760;0;9523,86;6000,00;37,00;0,00;3,15;1752379;0;5520,00;AGCV SAINT JOSEPH
ARS MICROS-TROTTOIRS VACCINATION - 69707;AGENCE REGIONALE DE SANTE OI;JL;IN;Confirmée;Oui;Non;Non;Non;28/06/2021;04/07/2021;101500;0;3572,80;3054,74;15,00;0,00;30,10;101500;0;3054,74;ZOORIT
GAMM VERT  - 68734;AGRI DEV;BE;CL;Demande;Non;Non;Non;Non;03/07/2021;26/12/2021;964284;0;5785,74;4050,00;30,00;0,00;4,20;964284;0;4050,00;AGRI DEV
GAMM VERT  - 68735;AGRI DEV;JA;CL;Confirmée;Non;Non;Non;Non;05/07/2021;26/12/2021;803570;0;4821,45;3375,00;30,00;0,00;4,20;964284;0;4050,00;AGRI DEV
