Campagne;Annonceur;Responsable commercial;Nature;Etat planning;Prête à diffuser;Accord cadre;ODI envoyé;ODI reçu;Début;Fin;Volume total prévu;Volume clic prévu;Brut prévu;Net prévu;Taux de remise prévu;Frais techniques prévus;CPM net prévu;Volume total diffusé;Volume clic diffusé;Net diffusé;Mandataire de réservation
AGCV SAINT JO - 71785;AGCV SAINT JOSEPH;BE;CL;Option;Non;Non;Non;Non;05/02/2022;18/02/2022;0;0;1500;1500;0;0;0;0;0;1500;AGCV SAINT JOSEPH
AGCV SAINT JO - 71787;AGCV SAINT JOSEPH;BE;CL;Option;Non;Non;Non;Non;05/02/2022;18/02/2022;365497;0;1754.39;1500;15;0;4.1;365497;0;1500;AGCV SAINT JOSEPH
AGCV SAINT JO - 72743;AGCV SAINT JOSEPH;BE;CL;Option;Non;Non;Non;Non;07/02/2022;24/12/2022;1904760;0;9523.86;6000;37;0;3.15;1752379;0;5520;AGCV SAINT JOSEPH
GAMM VERT  - 73189;AGRI DEV;JA;CL;Confirmée;Non;Non;Non;Non;05/01/2022;19/06/2022;964284;0;5785.74;4050;30;0;4.2;964284;0;4050;AGRI DEV
GAMM VERT  - 73196;AGRI DEV;JA;CL;Confirmée;Non;Non;Non;Non;05/01/2022;19/06/2022;14779459;0;6000;4050;33;0;0.27;0;0;4050;AGRI DEV
AHMOD ALI - 67714;AHMOD ALI;JA;CL;Confirmée;Non;Non;Non;Non;01/04/2021;31/03/2022;0;0;1000;1000;0;0;0;0;0;1000;AHMOD ALI
AIRLISE - 74256;AIRLISE;KC;DIGOPS;Option;Non;Non;Non;Non;24/01/2022;03/02/2022;560000;0;3800;1995;48;0;3.56;0;0;0;AIRLISE
AIRLISE - 74257;AIRLISE;KC;PRODOP;Option;Non;Non;Non;Non;03/01/2022;03/01/2022;0;0;505;505;0;0;0;0;0;505;AIRLISE
AUDIO + PARR MEILLEUR PATISSIER - 72589;AUDIO + (Saint Paul);BE;EXTWB;Confirmée;Oui;Non;Non;Non;29/10/2021;28/01/2022;451560;0;750;750;0;0;1.66;372760;0;750;AUDIO + (Saint Paul)
AUTOMOBILE REUNION - 75145;AUTOMOBILES REUNION;BE;CL;Confirmée;Non;Non;Non;Non;17/01/2022;31/01/2022;2717192;0;6500;3800;42;0;1.4;208000;0;471.78;AUTOMOBILES REUNION
