Campagne;Nom;Etat;PAD;Date de début prévue;Date de fin prévue;Date de début diffusée;Date de fin diffusée;Annonceur;Responsable commercial;Volume total prévu;Volume payant prévu;Brut prévu;Net prévu;CPM Net payant prévu;CMP Net total prévu;Volume clic prévu;Taux clic prévu;Volume total diffusé;Volume payant diffusé;Brut diffusé;Net diffusé;CPM Net payant diffusé;CMP Net total diffusé;Volume clic diffusé;Taux clic diffusé;Taux d'avancement;Taux d'avancement date;Groupe d'insertions
AGCV SAINT JO - 71785;MASTHEAD SUR RODZAFER ;Réservée;Non;05/02/2022;18/02/2022;05/02/2022;18/02/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;0;0;1500.00;1500.00;0.00;0.00;0;0.00%;0;0;1500.00;1500.00;0.00;0.00;0;0.00%;0.00%;0.00%;
AGCV SAINT JO - 71787;2020 - RG RECTANGLE APPLI - 2020 - RECTANGLE APPLI;Réservée;Non;05/02/2022;18/02/2022;05/02/2022;18/02/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;190058;190058;912.28;780.00;4.10;4.10;0;0.00%;190058;190058;912.28;780.00;4.10;4.10;0;0.00%;100.00%;0.00%;2021 RESEAU ASB RECTANGLE VIDEO RG AR/LINFO/DTJ/OR
AGCV SAINT JO - 71787;2020 - RG RECTANGLE - 2020 - RECTANGLE;Réservée;Non;05/02/2022;18/02/2022;05/02/2022;18/02/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;175439;175439;842.11;720.00;4.10;4.10;0;0.00%;175439;175439;842.11;720.00;4.10;4.10;0;0.00%;100.00%;0.00%;2021 RESEAU ASB RECTANGLE VIDEO RG AR/LINFO/DTJ/OR
AGCV SAINT JO - 72743;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;Réservée;Non;07/02/2022;13/02/2022;07/02/2022;13/02/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;165079;165079;825.40;520.00;3.15;3.15;0;0.00%;165079;165079;825.40;520.00;3.15;3.15;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
AGCV SAINT JO - 72743;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Réservée;Non;07/02/2022;13/02/2022;07/02/2022;13/02/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;152381;152381;761.91;480.00;3.15;3.15;0;0.00%;152381;152381;761.91;480.00;3.15;3.15;0;0.00%;100.00%;0.00%;2021 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
AGCV SAINT JO - 72743;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;Réservée;Non;23/05/2022;28/05/2022;23/05/2022;28/05/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;165079;165079;825.40;520.00;3.15;3.15;0;0.00%;165079;165079;825.40;520.00;3.15;3.15;0;0.00%;100.00%;0.00%;2021 V2 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
AGCV SAINT JO - 72743;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Réservée;Non;23/05/2022;28/05/2022;23/05/2022;28/05/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;152381;152381;761.91;480.00;3.15;3.15;0;0.00%;152381;152381;761.91;480.00;3.15;3.15;0;0.00%;100.00%;0.00%;2021 V2 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
AGCV SAINT JO - 72743;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Réservée;Non;04/07/2022;10/07/2022;04/07/2022;10/07/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;152381;152381;761.91;480.00;3.15;3.15;0;0.00%;152381;152381;761.91;480.00;3.15;3.15;0;0.00%;100.00%;0.00%;2021 V3 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
AGCV SAINT JO - 72743;2020 - RG GRAND ANGLE APPLI - 2020 - GRAND ANGLE APPLI;Réservée;Non;04/07/2022;10/07/2022;04/07/2022;10/07/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;165079;165079;825.40;520.00;3.15;3.15;0;0.00%;165079;165079;825.40;520.00;3.15;3.15;0;0.00%;100.00%;0.00%;2021 V3 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
AGCV SAINT JO - 72743;2020 - RG GRAND ANGLE - 2020 - GRAND ANGLE;Réservée;Non;22/08/2022;28/08/2022;22/08/2022;28/08/2022;AGCV SAINT JOSEPH;BOURSIER Estelle;152381;152381;761.91;480.00;3.15;3.15;0;0.00%;152381;152381;761.91;480.00;3.15;3.15;0;0.00%;100.00%;0.00%;2021 V4 RESEAU ASB GRAND ANGLE RG AR/LINFO/DTJ/OR
